30	 1	 0.0130449	 0.0065704	 0.00366702	 0.00168294
30	 1.5	 0.0193504	 0.00970809	 0.00545417	 0.00244856
30	 2	 0.0259135	 0.0133126	 0.00730454	 0.00333247
30	 2.5	 0.0317865	 0.0163714	 0.00891001	 0.00409606
30	 3	 0.037717	 0.019655	 0.0106633	 0.00497357
30	 3.5	 0.044222	 0.0232518	 0.0124857	 0.00579863
30	 4	 0.0509768	 0.0266702	 0.0143431	 0.00671049
30	 4.5	 0.0566482	 0.0293928	 0.0159015	 0.0074041
30	 5	 0.0635169	 0.0330512	 0.0179169	 0.00843881
30	 5.5	 0.0693114	 0.0368162	 0.0195106	 0.00912415
30	 6	 0.0769292	 0.0401749	 0.0215769	 0.0102461
30	 6.5	 0.0833265	 0.0446077	 0.0232481	 0.0111601
30	 7	 0.0887675	 0.0469441	 0.0246602	 0.0117135
30	 7.5	 0.0968462	 0.0512919	 0.0269298	 0.012653
30	 8	 0.101985	 0.0541751	 0.0283578	 0.0137057
30	 8.5	 0.110036	 0.0582164	 0.0308151	 0.0146458
30	 9	 0.11523	 0.0619663	 0.0319657	 0.0154087
30	 9.5	 0.122857	 0.0640183	 0.0342788	 0.0160847
30	 10	 0.129314	 0.0693177	 0.0362035	 0.0173147
30	 10.5	 0.134167	 0.0714926	 0.0373697	 0.0177942
30	 11	 0.139468	 0.0740154	 0.0389463	 0.0183851
30	 11.5	 0.147708	 0.079269	 0.0414771	 0.0200685
30	 12	 0.155691	 0.0826901	 0.0437186	 0.0207332
