10	 5	 0.146763	 0.0985312	 0.0385648	 0.0218779
15	 5	 0.104572	 0.0625865	 0.0283068	 0.0143814
20	 5	 0.0837613	 0.0470138	 0.0229506	 0.0113337
25	 5	 0.0711204	 0.0388512	 0.0198592	 0.00972294
30	 5	 0.0633731	 0.0339694	 0.0178049	 0.00840881
35	 5	 0.0577653	 0.0292585	 0.0163009	 0.00749626
40	 5	 0.0527676	 0.027199	 0.0149605	 0.00693079
45	 5	 0.0485423	 0.0242429	 0.0139303	 0.00640869
50	 5	 0.0461284	 0.0230409	 0.0131755	 0.00603731
55	 5	 0.0432938	 0.0207599	 0.0123277	 0.00546655
60	 5	 0.0414985	 0.0199473	 0.0117394	 0.00520434
65	 5	 0.039311	 0.0187428	 0.0112772	 0.00503106
70	 5	 0.0380054	 0.0179289	 0.0109175	 0.00485248
75	 5	 0.0369279	 0.0179606	 0.0105052	 0.00466178
80	 5	 0.0347403	 0.016367	 0.00995529	 0.00437268
85	 5	 0.03371	 0.0159212	 0.00968878	 0.00430369
90	 5	 0.0326779	 0.0157364	 0.00947795	 0.00418682
95	 5	 0.0314859	 0.0150869	 0.00918715	 0.00402313
100	 5	 0.0307427	 0.014524	 0.00881822	 0.00389732
105	 5	 0.0300991	 0.0139717	 0.00867827	 0.00375653
110	 5	 0.0294684	 0.0134667	 0.00852644	 0.00365936
115	 5	 0.0287235	 0.0132938	 0.00828506	 0.0036618
120	 5	 0.0280185	 0.0129238	 0.00814822	 0.00352103
